review_id,review_year,text,stars,predictions,pred_probs_0
Qq5KUD19RWtJSONHbwDsbQ,2014,"don't know which was worse, the service or the food. the meats were cold and rubbery. no flavor at all. service was awful!! miserable restaurant, go to mcdonalds!",1,0,0.9999932437912648
Wome_zO1sDlZIIVCX2LFaQ,2016,we had a fun time here. there were ten of us and they were able to seat us in a private room. with the groupon we had plenty of wonderful food and drink!  our server amber took good care of us!,5,1,0.006142537828827566
LBIAs5Dw0d714E4yr5qL7g,2014,"my first time to lost vegas and had coupons from the timeshare i visited.  they could have kept these coupons....when i first entered the smell of old mop water hit me...or it could have been the smell of bad meat; either way it changed the beginning of my experience. 

the coupon offered salmon but for an $8 upgrade you can get the flanks of nasty meat.  the food was subpar to say the least and my wine glass came with spots.  i was sickened.  then the lady comes around to offer a free pic, nice with but the exception comes when you try to offer an 8x11 at a cost of $22.  (i bought one)  best money spent in this horrible place.",1,0,0.9905646147745972
7LzBpgVCatng-9qQSaOkIg,2009,"yummers! we got discounted vouchers at the tickets 4 less counters on the strip. paid $3 to get the discounted price of $24.95 instead of the regular price of $41. the guy at the ticket counter said they sell the most vouchers for pampas than all their shows combined. good deal. the dinner was all you can eat of 10 meats. i have to say, my favorite was the roasted herb chicken. some of the meat was a bit dry and tough to chew through, but i was pretty satisfied with the different flavors. there are some other brazilian bbq places where the meats just all start tasting the same. another favorite was the bacon wrapped turkey. the turkey was really moist, but i think that's because it was processed. they came out in cubes on those long sticks. if i remember correctly, there were two types of filet mignon. i remember liking the one that wasn't with parmesan .
the service here was excellent. we brought our own wine. when we called, they said the corkage fee was $15, but it turned out to be $10. our waiter and also a manager kept checking in on us and taking away our plates. additionally, there was a separate buffet with lots of salad choices. i liked the pineapple salad, kale, and the fried bananas. yummers again!",4,1,0.24699096876237314
f4IsGSQ4yfWHVTFojTtxeQ,2015,"service is great! guys really care about us, especially carlos. 
great environment, friendly staff",4,1,0.024611628235211125
s0IJZjywYiupOP4J6d08nA,2012,"great place!  especially before a long night (edc)  great sangria,  awesome food",5,1,0.0008479613239887884
0kH0XN_nuD4VgKOJFA70wA,2018,"john and i visited pampas (brazilian rest.) while on vegas. we met a couple who just left prior to arriving. they stated the food was overrated. me, i am a meat and veggie girl so it was just what i was looking for. it is about $50 per person for the full salad bar and all you can eat meat selections. for an additional $10, you can drink all the mimosas you like. you have a  & a go sign at your table. they literally bring you all the fresh meat you can eat. the meats are hot, juicy and sliced off the skewer right in front of you. they sliced pineapple was super delicious . i actually thought the overall service was really good. he came around enough to let us know he was still there. he didn't brother us with a lot of extras. we did pay $2.00 for a tall container of water. that was real funny to me. i thought water was free...lol. joke was on me.",5,1,0.2551380781917095
fB6j5fImiWn3pf0kJvyfHA,2015,"the meats just kept coming. we did the meat rodizio. everything was top notch, juicy and savory. top sirloin, filet mignon wrapped in bacon, the biggest chicken legs i've ever seen, tri tip and more.  the salad bar is excellent, with feijoada, pao de queijo, platanos, and other excellent sides. dessert was chocolate mousse. don't forget the guarana antartica! all so authentic and delicious.",4,1,0.0006368531711495873
whZRcFuBOhbWuyKt8R46GQ,2019,really long waiting time but honestly the food was great! but this time around i was mostly very happy with the service we received. our waiters name was tyler he was amazing. he was quick and super friendly. he made sure we had water and also when we were running low on drinks he brought new drinks without asking and without letting us finish the drink which showed that even though they were super busy at 730pm he was able to take care of us and make us feel great!,5,1,0.012310898104240242
2TtGKHO7_vXfTWAtAgtMZw,2012,"pampas is usually good, but not this las vegas branch. you are better off spending your money in other steakhouses.",2,0,0.8734696769187869
c3V3NpnM1lZPLpyV0pgbpw,2012,"truly one of the worst dining experiences i have ever had.  i do not recommend trying this restaurant.  we had a group of 10, with a reservation, and they tried to give us a very small and cramped bar table.  we could have walked off the street and gotten this table.  second, they made us wait an hour past our reservation.  third we were told we had to get a bar table because reservations were going to filled an hour and 1/2 after our reservation time (this is not a typing mistake, does not make any sense, the manager argued it did make sense).  we would have been out of the restaurant by the time of this reservation, if we had been sat on time.  when we finally got our table they were slow to deliver the meat that is supposed to be endless and come at us overwhelmingly fast.  we did not get the barrage of meat they promised. we felt the restaurant wanted us to fill up on their salad bar.   after telling us we were supposed to wait for another reservation, one really large table, in the same room, remained empty all night.  a bad experience all around.  on top of all that we bought a groupon but they hand better coupons in the mall.  this made the groupon pointless and a real waste of money.",1,0,0.9988471322481388
